date,pressure,temp,d_temp,humidity,sunshine,windspeed,precipitation
1/1/1999,1022,18.5,14,74,7,16,0
2/1/1999,1020.2,16,10.8,69,7.8,22,0
3/1/1999,1018,15.7,9.9,67,9,18,0
4/1/1999,1017.5,16.8,9.2,59,9.3,15,0
5/1/1999,1016.6,16.5,9.9,65,9.4,13,0
6/1/1999,1016.2,16.7,9,60,9,15,0
7/1/1999,1017.8,15.6,5.2,47,8.7,27,0
8/1/1999,1018.4,14,6.2,57,7.3,20,0
9/1/1999,1020.8,15,10.1,71,1.2,18,0
10/1/1999,1022.9,14.9,8.4,63,2.3,19,0
11/1/1999,1022.6,14,6.2,56,0.3,24,0
12/1/1999,1024.6,8.7,6.4,86,0,34,3.4
13/1/1999,1024.4,9,7.7,90,0,25,3
14/1/1999,1022.8,10.6,8.8,88,0,28,0.2
15/1/1999,1026,9.6,4,66,0,36,0
16/1/1999,1026.5,11.1,2.9,54,1,22,0
17/1/1999,1024.6,12.4,5.8,62,0,19,1
18/1/1999,1019.5,13.5,10.4,81,0,16,0
19/1/1999,1018.5,18.2,14.2,77,7.8,12,0
20/1/1999,1021,17.3,14.6,83,0,10,0
21/1/1999,1021.6,15.6,11.7,76,0.4,17,0
22/1/1999,1017.5,17.4,13.9,79,0,10,0
23/1/1999,1014.4,19.1,16.9,87,0.1,10,1
24/1/1999,1015,20.9,18.3,85,7.9,8,0
25/1/1999,1015.1,20.3,17.8,85,2.8,8,0
26/1/1999,1013.6,18.9,16,83,9.3,16,0
27/1/1999,1013.5,19,15.8,81,9.2,12,0
28/1/1999,1015.3,21.1,18.2,83,8.7,9,0
29/1/1999,1016.3,18.8,15.8,82,1.5,18,0
30/1/1999,1015.1,18.4,14.7,78,8.7,20,0
31/1/1999,1012.3,19.5,17.1,85,1.2,13,0
1/2/1999,1012.7,21.6,19.3,86,6.2,8,0
2/2/1999,1018.8,18.8,11.2,61,8.2,30,0
3/2/1999,1024.3,15.8,1.9,35,9.4,32,0
4/2/1999,1025.6,14.4,1.5,38,9.4,21,0
5/2/1999,1025.4,15.3,8.2,61,8.9,16,0
6/2/1999,1023.6,16.2,9.7,64,9.5,17,0
7/2/1999,1022,17.1,12.2,73,9.4,13,0
8/2/1999,1021.1,17.8,13.4,75,9,10,0
9/2/1999,1019.6,18.3,13.8,74,9.5,12,0
10/2/1999,1018.3,19.8,15.1,74,5,10,0
11/2/1999,1019.8,21.4,16,70,7.2,11,0
12/2/1999,1023.7,18.4,10.7,60,7.2,22,0
13/2/1999,1022.9,17,12.2,72,7.7,21,0
14/2/1999,1022.2,17.5,12.5,72,7.8,18,0
15/2/1999,1022.2,18.5,14.4,76,9.1,11,0
16/2/1999,1020.4,19.5,16,80,8,9,0
17/2/1999,1017.6,19.6,17.1,85,3.2,14,0
18/2/1999,1018.6,20.7,16.7,77,8.1,15,0
19/2/1999,1023.6,15.1,8.8,64,0,30,0
20/2/1999,1025.1,12,3.3,52,0,28,0
21/2/1999,1025,11.7,4.5,58,0.6,23,0
22/2/1999,1022.6,15,9.7,69,8.3,15,0
23/2/1999,1019.2,18,15,82,4.5,10,0
24/2/1999,1016.6,20,16.6,81,9.4,8,0
25/2/1999,1015.8,20.2,18.3,88,2.9,12,0
26/2/1999,1015.4,21.3,19.3,88,5.1,12,0
27/2/1999,1018.2,21.8,18.6,82,5.1,16,0
28/2/1999,1022.1,18.5,14.8,78,4.6,17,0
1/3/1999,1018.9,19.5,15.2,75,8.6,17,0
2/3/1999,1015.5,20.2,17.6,85,5.2,14,0.05
3/3/1999,1013.2,21.3,18.8,85,8.5,12,0
4/3/1999,1010.7,21.2,18.8,86,9.3,13,0
5/3/1999,1007.8,21.6,18.8,84,8.2,10,0
6/3/1999,1006.4,22.1,20.2,89,5.8,13,0
7/3/1999,1006.9,22.8,20.4,86,3.6,8,0.05
8/3/1999,1008.6,20.1,18.7,91,0,27,0.05
9/3/1999,1008.6,20.9,19.9,94,0,23,0
10/3/1999,1009.9,19.4,18.3,93,0,25,0.6
11/3/1999,1013.8,12.9,10.8,86,0,28,0.6
12/3/1999,1012.8,12.8,12.2,96,0,21,0.4
13/3/1999,1011.3,13.8,13.4,97,0,16,1
14/3/1999,1012.2,14.6,14,96,0,18,0.6
15/3/1999,1013.2,15.8,11.7,76,0.5,22,0
16/3/1999,1011.5,16.6,13.8,83,0,17,0.05
17/3/1999,1008.9,19.8,18.9,94,0,19,5.2
18/3/1999,1006.4,24.2,23.1,94,2.2,16,0.4
19/3/1999,1006.8,24.5,23.2,92,0.1,12,0.05
20/3/1999,1008.1,24.2,23.1,94,0.1,16,0.05
21/3/1999,1012,16.8,16.3,96,0,22,30.2
22/3/1999,1018.6,12.2,10.7,90,0,28,1.4
23/3/1999,1017.7,14.7,13.9,95,0,16,0.8
24/3/1999,1014.6,19.2,18.4,95,0,15,0.2
25/3/1999,1012.2,21.9,21.1,95,0,14,0.05
26/3/1999,1011,24.5,23.2,93,1.9,16,0
27/3/1999,1012.7,24.8,23,90,6.8,10,1.6
28/3/1999,1015.6,20,17.6,85,0,24,0.05
29/3/1999,1016,17.7,16.3,91,0,24,3.2
